# mapping_set_id: https://w3id.org/lmodel/d3fend/mappings-reference
# license: https://www.apache.org/licenses/LICENSE-2.0
# creator_id: https://github.com/lmodel/d3fend
# mapping_date: 2026-04-01
subject_id,predicate_id,object_id,mapping_justification,subject_label,object_label,mapping_set_id
http://d3fend.mitre.org/ontologies/d3fend.owl#DomainName,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/DomainName,https://w3id.org/semapv/ManualMappingCuration,DomainName,DomainName,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Email,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/EmailMessage,https://w3id.org/semapv/ManualMappingCuration,Email,EmailMessage,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#File,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/File,https://w3id.org/semapv/ManualMappingCuration,File,File,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Grouping,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Grouping,https://w3id.org/semapv/ManualMappingCuration,Grouping,Grouping,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#IPAddress,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/Ipv4Addr,https://w3id.org/semapv/ManualMappingCuration,IPAddress,Ipv4Addr,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Identifier,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Identifier,https://w3id.org/semapv/ManualMappingCuration,Identifier,Identifier,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#MACAddress,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/MacAddr,https://w3id.org/semapv/ManualMappingCuration,MACAddress,MacAddr,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkFlow,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/NetworkTraffic,https://w3id.org/semapv/ManualMappingCuration,NetworkFlow,NetworkTraffic,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTraffic,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/NetworkTraffic,https://w3id.org/semapv/ManualMappingCuration,NetworkTraffic,NetworkTraffic,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Process,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Process,https://w3id.org/semapv/ManualMappingCuration,Process,Process,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#SecurityEvent,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/stix/ObservedData,https://w3id.org/semapv/ManualMappingCuration,SecurityEvent,ObservedData,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Software,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Software,https://w3id.org/semapv/ManualMappingCuration,Software,Software,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#URL,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/Url,https://w3id.org/semapv/ManualMappingCuration,URL,Url,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccount,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/UserAccount,https://w3id.org/semapv/ManualMappingCuration,UserAccount,UserAccount,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#UserProcess,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/Process,https://w3id.org/semapv/ManualMappingCuration,UserProcess,Process,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Vulnerability,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Vulnerability,https://w3id.org/semapv/ManualMappingCuration,Vulnerability,Vulnerability,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#WindowsRegistryKey,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/WindowsRegistryKey,https://w3id.org/semapv/ManualMappingCuration,WindowsRegistryKey,WindowsRegistryKey,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#WindowsRegistryValue,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/WindowsRegistryValue,https://w3id.org/semapv/ManualMappingCuration,WindowsRegistryValue,WindowsRegistryValue,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Agent,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/spdx/Agent,https://w3id.org/semapv/ManualMappingCuration,Agent,Agent,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Artifact,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/spdx/Element,https://w3id.org/semapv/ManualMappingCuration,Artifact,Element,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#D3FENDKBThing,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/spdx/Element,https://w3id.org/semapv/ManualMappingCuration,D3FENDKBThing,Element,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DefensiveTechnique,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/spdx/Element,https://w3id.org/semapv/ManualMappingCuration,DefensiveTechnique,Element,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DigitalDocument,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/spdx/SpdxDocument,https://w3id.org/semapv/ManualMappingCuration,DigitalDocument,SpdxDocument,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#File,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/spdx/File,https://w3id.org/semapv/ManualMappingCuration,File,File,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Organization,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/spdx/Organization,https://w3id.org/semapv/ManualMappingCuration,Organization,Organization,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Person,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/spdx/Person,https://w3id.org/semapv/ManualMappingCuration,Person,Person,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Software,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/spdx/SoftwareArtifact,https://w3id.org/semapv/ManualMappingCuration,Software,SoftwareArtifact,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#SoftwarePackage,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/spdx/Package,https://w3id.org/semapv/ManualMappingCuration,SoftwarePackage,Package,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Vulnerability,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/spdx/Vulnerability,https://w3id.org/semapv/ManualMappingCuration,Vulnerability,Vulnerability,SPDX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Action,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/oscal/Action,https://w3id.org/semapv/ManualMappingCuration,Action,Action,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Capability,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/oscal/Capability,https://w3id.org/semapv/ManualMappingCuration,Capability,Capability,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#CyberAction,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/oscal/Action,https://w3id.org/semapv/ManualMappingCuration,CyberAction,Action,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DefensiveAction,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/oscal/ImplementedControlStatement,https://w3id.org/semapv/ManualMappingCuration,DefensiveAction,ImplementedControlStatement,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DefensiveTechnique,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/oscal/Control,https://w3id.org/semapv/ManualMappingCuration,DefensiveTechnique,Control,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DigitalArtifact,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/oscal/Resource,https://w3id.org/semapv/ManualMappingCuration,DigitalArtifact,Resource,OSCAL_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DigitalDocument,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/oscal/OscalDocument,https://w3id.org/semapv/ManualMappingCuration,DigitalDocument,OscalDocument,OSCAL_CLASS_MAPPINGS
